station,valid,tmpf,dwpf,skyc1,skyc2,skyc3
EGLL,2024-01-15 00:50,33.80,28.40,NCD,M,M
EGLL,2024-01-15 01:50,30.20,26.60,NCD,M,M
EGLL,2024-01-15 02:50,32.00,28.40,NCD,M,M
EGLL,2024-01-15 03:50,28.40,24.80,NCD,M,M
EGLL,2024-01-15 04:50,30.20,26.60,NCD,M,M
EGLL,2024-01-15 05:50,30.20,26.60,NCD,M,M
EGLL,2024-01-15 06:50,32.00,26.60,NCD,M,M
EGLL,2024-01-15 07:50,32.00,26.60,NCD,M,M
EGLL,2024-01-15 08:50,32.00,24.80,NCD,M,M
EGLL,2024-01-15 09:50,33.80,26.60,NCD,M,M
EGLL,2024-01-15 10:50,35.60,24.80,NCD,M,M
EGLL,2024-01-15 11:50,37.40,23.00,NCD,M,M
EGLL,2024-01-15 12:50,37.40,21.20,NCD,M,M
EGLL,2024-01-15 13:50,37.40,21.20,NCD,M,M
EGLL,2024-01-15 14:50,37.40,19.40,NCD,M,M
EGLL,2024-01-15 15:50,35.60,19.40,NCD,M,M
EGLL,2024-01-15 16:50,33.80,19.40,NCD,M,M
EGLL,2024-01-15 17:50,33.80,17.60,NCD,M,M
EGLL,2024-01-15 18:50,30.20,19.40,NCD,M,M
EGLL,2024-01-15 19:50,28.40,19.40,NCD,M,M
EGLL,2024-01-15 20:50,30.20,19.40,NCD,M,M
EGLL,2024-01-15 21:50,28.40,21.20,NCD,M,M
EGLL,2024-01-15 22:50,26.60,21.20,NCD,M,M
EGLL,2024-01-15 23:50,28.40,21.20,NCD,M,M
EGLL,2024-01-16 00:50,26.60,21.20,NCD,M,M
EGLL,2024-01-16 01:50,24.80,21.20,NCD,M,M
EGLL,2024-01-16 02:50,26.60,21.20,NCD,M,M
EGLL,2024-01-16 03:50,24.80,21.20,NCD,M,M
EGLL,2024-01-16 04:50,23.00,19.40,NCD,M,M
EGLL,2024-01-16 05:50,23.00,21.20,NCD,M,M
EGLL,2024-01-16 06:50,26.60,23.00,NCD,M,M
EGLL,2024-01-16 07:50,26.60,21.20,NCD,M,M
EGLL,2024-01-16 08:50,26.60,23.00,NCD,M,M
EGLL,2024-01-16 09:50,30.20,23.00,NCD,M,M
EGLL,2024-01-16 10:50,32.00,23.00,NCD,M,M
EGLL,2024-01-16 11:50,35.60,24.80,NCD,M,M
EGLL,2024-01-16 12:50,41.00,26.60,NCD,M,M
EGLL,2024-01-16 13:50,41.00,24.80,NCD,M,M
EGLL,2024-01-16 14:50,41.00,24.80,NCD,M,M
EGLL,2024-01-16 15:50,39.20,23.00,NCD,M,M
EGLL,2024-01-16 16:50,35.60,23.00,NCD,M,M
EGLL,2024-01-16 17:50,33.80,23.00,NCD,M,M
EGLL,2024-01-16 18:50,33.80,23.00,NCD,M,M
EGLL,2024-01-16 19:50,32.00,24.80,NCD,M,M
EGLL,2024-01-16 20:50,32.00,24.80,NCD,M,M
EGLL,2024-01-16 21:50,32.00,24.80,NCD,M,M
EGLL,2024-01-16 22:50,30.20,23.00,SCT,M,M
EGLL,2024-01-16 23:50,32.00,24.80,OVC,M,M
EGLL,2024-01-17 00:50,32.00,24.80,OVC,M,M
EGLL,2024-01-17 01:50,30.20,26.60,OVC,M,M
EGLL,2024-01-17 02:50,30.20,24.80,FEW,M,M
EGLL,2024-01-17 03:50,30.20,24.80,NCD,M,M
EGLL,2024-01-17 04:50,30.20,24.80,NCD,M,M
EGLL,2024-01-17 05:50,30.20,24.80,SCT,M,M
EGLL,2024-01-17 06:50,30.20,26.60,BKN,M,M
EGLL,2024-01-17 07:50,32.00,26.60,OVC,M,M
EGLL,2024-01-17 08:50,32.00,26.60,BKN,M,M
EGLL,2024-01-17 09:50,33.80,26.60,OVC,M,M
EGLL,2024-01-17 10:50,35.60,28.40,OVC,M,M
EGLL,2024-01-17 11:50,37.40,28.40,OVC,M,M
EGLL,2024-01-17 12:50,35.60,30.20,FEW,OVC,M
EGLL,2024-01-17 13:50,37.40,30.20,SCT,OVC,M
EGLL,2024-01-17 14:50,35.60,30.20,FEW,OVC,M
EGLL,2024-01-17 15:50,35.60,30.20,BKN,BKN,OVC
EGLL,2024-01-17 16:50,35.60,28.40,BKN,M,M
EGLL,2024-01-17 17:50,33.80,26.60,BKN,M,M
EGLL,2024-01-17 18:50,32.00,24.80,FEW,M,M
EGLL,2024-01-17 19:50,32.00,24.80,NCD,M,M
EGLL,2024-01-17 20:50,30.20,24.80,NCD,M,M
EGLL,2024-01-17 21:50,30.20,24.80,NCD,M,M
EGLL,2024-01-17 22:50,28.40,23.00,NCD,M,M
EGLL,2024-01-17 23:50,28.40,21.20,NCD,M,M
EGLL,2024-01-18 00:50,26.60,19.40,NCD,M,M
EGLL,2024-01-18 01:50,24.80,17.60,NCD,M,M
EGLL,2024-01-18 02:50,24.80,15.80,NCD,M,M
EGLL,2024-01-18 03:50,24.80,15.80,NCD,M,M
EGLL,2024-01-18 04:50,24.80,15.80,NCD,M,M
EGLL,2024-01-18 05:50,23.00,15.80,NCD,M,M
EGLL,2024-01-18 06:50,23.00,15.80,NCD,M,M
EGLL,2024-01-18 07:50,23.00,17.60,NCD,M,M
EGLL,2024-01-18 08:50,24.80,17.60,NCD,M,M
EGLL,2024-01-18 09:50,28.40,19.40,NCD,M,M
EGLL,2024-01-18 10:50,32.00,21.20,NCD,M,M
EGLL,2024-01-18 11:50,33.80,23.00,NCD,M,M
EGLL,2024-01-18 12:50,35.60,24.80,NCD,M,M
EGLL,2024-01-18 13:50,37.40,24.80,NCD,M,M
EGLL,2024-01-18 14:50,37.40,26.60,NCD,M,M
EGLL,2024-01-18 15:50,37.40,26.60,NCD,M,M
EGLL,2024-01-18 16:50,35.60,24.80,NCD,M,M
EGLL,2024-01-18 17:50,33.80,24.80,NCD,M,M
EGLL,2024-01-18 18:50,32.00,24.80,NCD,M,M
EGLL,2024-01-18 19:50,28.40,23.00,NCD,M,M
EGLL,2024-01-18 20:50,30.20,23.00,NCD,M,M
EGLL,2024-01-18 21:50,32.00,24.80,NCD,M,M
EGLL,2024-01-18 22:50,28.40,23.00,NSC,M,M
EGLL,2024-01-18 23:50,28.40,23.00,M,M,M
EGLL,2024-01-19 00:50,26.60,21.20,NCD,M,M
EGLL,2024-01-19 01:50,26.60,21.20,NCD,M,M
EGLL,2024-01-19 02:50,24.80,21.20,NCD,M,M
EGLL,2024-01-19 03:50,26.60,23.00,NCD,M,M
EGLL,2024-01-19 04:50,26.60,23.00,NCD,M,M
EGLL,2024-01-19 05:50,24.80,21.20,NCD,M,M
EGLL,2024-01-19 06:50,28.40,23.00,NCD,M,M
EGLL,2024-01-19 07:50,24.80,23.00,NCD,M,M
EGLL,2024-01-19 08:50,28.40,24.80,NCD,M,M
EGLL,2024-01-19 09:50,30.20,24.80,NCD,M,M
EGLL,2024-01-19 10:50,35.60,28.40,NCD,M,M
EGLL,2024-01-19 11:50,37.40,28.40,NCD,M,M
EGLL,2024-01-19 12:50,41.00,30.20,NCD,M,M
EGLL,2024-01-19 13:50,41.00,28.40,NCD,M,M
EGLL,2024-01-19 14:50,41.00,28.40,NCD,M,M
EGLL,2024-01-19 15:50,41.00,28.40,NCD,M,M
EGLL,2024-01-19 16:50,37.40,28.40,NCD,M,M
EGLL,2024-01-19 17:50,37.40,28.40,NCD,M,M
EGLL,2024-01-19 18:50,35.60,28.40,NCD,M,M
EGLL,2024-01-19 19:50,33.80,26.60,NCD,M,M
EGLL,2024-01-19 20:50,33.80,26.60,NCD,M,M
EGLL,2024-01-19 21:50,33.80,26.60,NCD,M,M
EGLL,2024-01-19 22:50,33.80,26.60,NCD,M,M
EGLL,2024-01-19 23:50,32.00,26.60,NCD,M,M
EGLL,2024-01-20 00:50,32.00,26.60,NCD,M,M
EGLL,2024-01-20 01:50,32.00,26.60,NCD,M,M
EGLL,2024-01-20 02:50,32.00,26.60,NCD,M,M
EGLL,2024-01-20 03:50,33.80,28.40,NCD,M,M
EGLL,2024-01-20 04:50,35.60,30.20,NCD,M,M
EGLL,2024-01-20 05:50,35.60,30.20,NCD,M,M
EGLL,2024-01-20 06:50,35.60,32.00,NCD,M,M
EGLL,2024-01-20 07:50,37.40,32.00,NCD,M,M
EGLL,2024-01-20 08:50,37.40,32.00,NCD,M,M
EGLL,2024-01-20 09:50,39.20,32.00,NCD,M,M
EGLL,2024-01-20 10:50,41.00,32.00,NCD,M,M
EGLL,2024-01-20 11:50,42.80,32.00,FEW,M,M
EGLL,2024-01-20 12:50,42.80,33.80,FEW,M,M
EGLL,2024-01-20 13:50,42.80,33.80,NCD,M,M
EGLL,2024-01-20 14:50,42.80,30.20,NCD,M,M
EGLL,2024-01-20 15:50,41.00,28.40,NCD,M,M
EGLL,2024-01-20 16:50,41.00,28.40,NCD,M,M
EGLL,2024-01-20 17:50,41.00,28.40,NCD,M,M
EGLL,2024-01-20 18:50,41.00,24.80,NCD,M,M
EGLL,2024-01-20 19:50,41.00,24.80,NCD,M,M
EGLL,2024-01-20 20:50,41.00,24.80,NCD,M,M
EGLL,2024-01-20 21:50,41.00,24.80,NCD,M,M
EGLL,2024-01-20 22:50,42.80,24.80,NCD,M,M
EGLL,2024-01-20 23:50,41.00,24.80,NCD,M,M
EGLL,2024-01-21 00:50,41.00,23.00,NCD,M,M
EGLL,2024-01-21 01:50,39.20,30.20,BKN,BKN,///
EGLL,2024-01-21 02:50,39.20,35.60,SCT,BKN,BKN
EGLL,2024-01-21 03:50,41.00,37.40,OVC,M,M
EGLL,2024-01-21 04:50,42.80,39.20,OVC,M,M
EGLL,2024-01-21 05:50,44.60,41.00,OVC,M,M
EGLL,2024-01-21 06:50,46.40,44.60,BKN,OVC,M
EGLL,2024-01-21 07:50,46.40,44.60,BKN,BKN,BKN
EGLL,2024-01-21 08:50,48.20,46.40,FEW,M,M
EGLL,2024-01-21 09:50,50.00,46.40,BKN,BKN,M
EGLL,2024-01-21 10:50,51.80,46.40,BKN,M,M
EGLL,2024-01-21 11:50,53.60,46.40,BKN,M,M
EGLL,2024-01-21 12:50,53.60,46.40,BKN,BKN,M
EGLL,2024-01-21 13:50,53.60,44.60,BKN,M,M
EGLL,2024-01-21 14:50,53.60,46.40,BKN,M,M
EGLL,2024-01-21 15:50,53.60,46.40,OVC,M,M
EGLL,2024-01-21 16:50,51.80,46.40,BKN,M,M
EGLL,2024-01-21 17:50,51.80,46.40,FEW,SCT,///
EGLL,2024-01-21 18:50,53.60,46.40,BKN,BKN,M
EGLL,2024-01-21 19:50,53.60,46.40,BKN,M,M
EGLL,2024-01-21 20:50,53.60,46.40,BKN,OVC,M
EGLL,2024-01-21 21:50,53.60,48.20,BKN,OVC,///
EGLL,2024-01-21 22:50,53.60,50.00,BKN,OVC,///
EGLL,2024-01-21 23:50,53.60,50.00,BKN,OVC,///
